,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,total-consumption-btu,total-consumption-btu-units
246,2022-06,US,U.S. Total,99,All Sectors,LFG,landfill gas,9.06928,million MMBtu
247,2022-06,US,U.S. Total,99,All Sectors,HYC,conventional hydroelectric,237.73536,million MMBtu
248,2022-06,US,U.S. Total,99,All Sectors,HPS,hydro-electric pumped storage,0.0,million MMBtu
249,2022-06,US,U.S. Total,99,All Sectors,GEO,geothermal,12.074,million MMBtu
250,2022-06,US,U.S. Total,99,All Sectors,FOS,fossil fuels,2141.78875,million MMBtu
251,2022-06,US,U.S. Total,99,All Sectors,DPV,estimated small scale solar photovoltaic,,million MMBtu
252,2022-06,US,U.S. Total,99,All Sectors,DFO,distillate fuel oil,5.33365,million MMBtu
253,2022-06,US,U.S. Total,99,All Sectors,COW,all coal products,798.38587,million MMBtu
254,2022-06,US,U.S. Total,99,All Sectors,COL,"coal, excluding waste coal",792.41718,million MMBtu
255,2022-06,US,U.S. Total,99,All Sectors,BIT,bituminous coal,299.22894,million MMBtu
256,2022-06,US,U.S. Total,99,All Sectors,BIS,bituminous coal and synthetic coal,299.22894,million MMBtu
257,2022-06,US,U.S. Total,99,All Sectors,BIO,biomass,119.79011,million MMBtu
258,2022-06,US,U.S. Total,99,All Sectors,AOR,all renewables,568.98644,million MMBtu
259,2022-06,US,U.S. Total,99,All Sectors,ANT,anthracite coal,0.0,million MMBtu
260,2022-06,US,U.S. Total,99,All Sectors,ALL,all fuels,3650.9057,million MMBtu
261,2022-06,US,U.S. Total,99,All Sectors,REN,renewable,806.7218,million MMBtu
262,2022-06,US,U.S. Total,99,All Sectors,RC,refined coal,30.71135,million MMBtu
263,2022-06,US,U.S. Total,99,All Sectors,PET,petroleum,19.40715,million MMBtu
264,2022-06,US,U.S. Total,99,All Sectors,PEL,petroleum liquids,10.65421,million MMBtu
265,2022-06,US,U.S. Total,99,All Sectors,PC,petroleum coke,8.75295,million MMBtu
266,2022-06,US,U.S. Total,99,All Sectors,OTH,other,16.89697,million MMBtu
267,2022-06,US,U.S. Total,99,All Sectors,ORW,other renewables,4.15556,million MMBtu
268,2022-06,US,U.S. Total,99,All Sectors,OOG,other gases,21.66294,million MMBtu
269,2022-06,US,U.S. Total,99,All Sectors,OBW,biomass,14.33008,million MMBtu
270,2022-05,US,U.S. Total,99,All Sectors,WAS,renewable waste products,24.57253,million MMBtu
271,2022-05,US,U.S. Total,99,All Sectors,TSN,estimated total solar,,million MMBtu
272,2022-05,US,U.S. Total,99,All Sectors,TPV,estimated total solar photovoltaic,,million MMBtu
273,2022-05,US,U.S. Total,99,All Sectors,SUN,solar,134.06629,million MMBtu
274,2022-05,US,U.S. Total,99,All Sectors,SUB,subbituminous coal,327.11117,million MMBtu
275,2022-05,US,U.S. Total,99,All Sectors,STH,solar thermal,3.28313,million MMBtu
276,2022-05,US,U.S. Total,99,All Sectors,SPV,solar photovoltaic,130.78316,million MMBtu
277,2022-05,US,U.S. Total,99,All Sectors,RFO,residual fuel oil,4.60504,million MMBtu
278,2022-05,US,U.S. Total,99,All Sectors,REN,renewable,838.56833,million MMBtu
279,2022-05,US,U.S. Total,99,All Sectors,RC,refined coal,28.25752,million MMBtu
280,2022-05,US,U.S. Total,99,All Sectors,PET,petroleum,19.57341,million MMBtu
281,2022-05,US,U.S. Total,99,All Sectors,PEL,petroleum liquids,10.15606,million MMBtu
282,2022-05,US,U.S. Total,99,All Sectors,PC,petroleum coke,9.41735,million MMBtu
283,2022-05,US,U.S. Total,99,All Sectors,AOR,all renewables,634.37075,million MMBtu
284,2022-05,US,U.S. Total,99,All Sectors,ANT,anthracite coal,0.0,million MMBtu
285,2022-05,US,U.S. Total,99,All Sectors,ALL,all fuels,3312.89278,million MMBtu
286,2022-05,US,U.S. Total,99,All Sectors,OB2,biomass,5.33747,million MMBtu
287,2022-05,US,U.S. Total,99,All Sectors,NUC,nuclear,661.131,million MMBtu
288,2022-05,US,U.S. Total,99,All Sectors,HPS,hydro-electric pumped storage,0.0,million MMBtu
